
Time_us,Position,Speed_rad_per_s
1312008,227315,0.000000
1317008,227313,-2.087442
1322008,227310,-3.131163
1327008,227304,-6.262325
1332008,227295,-9.393488
1337008,227286,-9.393488
1342008,227274,-12.524651
1347008,227261,-13.568372
1352008,227246,-15.655814
1357008,227230,-16.699535
1362008,227214,-16.699535
1367008,227196,-18.786976
1372008,227177,-19.830698
1377008,227157,-20.874418
1382008,227137,-20.874418
1387008,227116,-21.918139
1392008,227095,-21.918139
1397008,227073,-22.961861
1402008,227050,-24.005581
1407008,227027,-24.005581
1412008,227004,-24.005581
1417008,226980,-25.049301
1422008,226956,-25.049301
1427008,226931,-26.093023
1432008,226906,-26.093023
1437008,226881,-26.093023
1442008,226856,-26.093023
1447008,226830,-27.136744
1452008,226805,-26.093023
1457008,226779,-27.136744
1462008,226753,-27.136744
1467008,226726,-28.180466
1472008,226700,-27.136744
1477008,226673,-28.180466
1482008,226647,-27.136744
1487008,226620,-28.180466
1492008,226593,-28.180466
1497008,226566,-28.180466
1502008,226539,-28.180466
1507008,226511,-29.224186
1512008,226484,-28.180466
1517008,226457,-28.180466
1522008,226430,-28.180466
1527008,226402,-29.224186
1532008,226375,-28.180466
1537008,226347,-29.224186
1542008,226320,-28.180466
1547008,226293,-28.180466
1552008,226265,-29.224186
1557008,226238,-28.180466
1562008,226210,-29.224186
1567008,226183,-28.180466
1572008,226155,-29.224186
1577008,226128,-28.180466
1582008,226100,-29.224186
1587008,226073,-28.180466
1592008,226045,-29.224186
1597008,226018,-28.180466
1602008,225990,-29.224186
1607008,225962,-29.224186
1612008,225935,-28.180466
1617008,225907,-29.224186
1622008,225880,-28.180466
1627008,225852,-29.224186
1632008,225825,-28.180466
1637008,225797,-29.224186
1642008,225770,-28.180466
1647008,225742,-29.224186
1652008,225715,-28.180466
1657008,225687,-29.224186
1662008,225660,-28.180466
1667008,225632,-29.224186
1672008,225605,-28.180466
1677008,225577,-29.224186
1682008,225550,-28.180466
1687008,225522,-29.224186
1692008,225495,-28.180466
1697008,225467,-29.224186
1702008,225440,-28.180466
1707008,225412,-29.224186
1712008,225384,-29.224186
1717008,225357,-28.180466
1722008,225329,-29.224186
1727008,225302,-28.180466
1732008,225274,-29.224186
1737008,225247,-28.180466
1742008,225219,-29.224186
1747008,225192,-28.180466
1752008,225164,-29.224186
1757008,225137,-28.180466
1762008,225109,-29.224186
1767008,225082,-28.180466
1772008,225054,-29.224186
1777008,225026,-29.224186
1782008,224999,-28.180466
1787008,224971,-29.224186
1792008,224944,-28.180466
1797008,224916,-29.224186
1802008,224889,-28.180466
1807008,224861,-29.224186
1812008,224833,-29.224186
1817008,224806,-28.180466
1822008,224778,-29.224186
1827008,224751,-28.180466
1832008,224723,-29.224186
1837008,224696,-28.180466
1842008,224668,-29.224186
1847008,224640,-29.224186
1852008,224613,-28.180466
1857008,224585,-29.224186
1862008,224558,-28.180466
1867008,224530,-29.224186
1872008,224503,-28.180466
1877008,224475,-29.224186
1882008,224448,-28.180466
1887008,224420,-29.224186
1892008,224392,-29.224186
1897008,224365,-28.180466
1902008,224337,-29.224186
