
Time_us,Position,Speed_rad_per_s
1312008,47842,0.000000
1317008,47842,0.000000
1322008,47842,0.000000
1327008,47841,-1.043721
1332008,47840,-1.043721
1337009,47839,-1.043512
1342010,47837,-2.087024
1347011,47836,-1.043512
1352011,47834,-2.087442
1357011,47832,-2.087442
1362011,47830,-2.087442
1367011,47827,-3.131163
1372011,47824,-3.131163
1377011,47821,-3.131163
1382011,47818,-3.131163
1387011,47815,-3.131163
1392011,47811,-4.174884
1397011,47808,-3.131163
1402011,47804,-4.174884
1407011,47800,-4.174884
1412011,47795,-5.218605
1417011,47791,-4.174884
1422011,47786,-5.218605
1427011,47782,-4.174884
1432011,47777,-5.218605
1437011,47772,-5.218605
1442011,47767,-5.218605
1447011,47761,-6.262325
1452011,47756,-5.218605
1457011,47751,-5.218605
1462011,47745,-6.262325
1467011,47739,-6.262325
1472011,47733,-6.262325
1477011,47727,-6.262325
1482011,47721,-6.262325
1487011,47715,-6.262325
1492011,47708,-7.306046
1497011,47702,-6.262325
1502011,47695,-7.306046
1507011,47689,-6.262325
1512011,47682,-7.306046
1517011,47675,-7.306046
1522011,47668,-7.306046
1527011,47661,-7.306046
1532011,47653,-8.349768
1537011,47646,-7.306046
1542011,47639,-7.306046
1547011,47632,-7.306046
1552011,47624,-8.349768
1557011,47617,-7.306046
1562011,47609,-8.349768
1567011,47601,-8.349768
1572011,47593,-8.349768
1577011,47586,-7.306046
1582011,47578,-8.349768
1587011,47570,-8.349768
1592011,47562,-8.349768
1597011,47554,-8.349768
1602011,47545,-9.393488
1607011,47537,-8.349768
1612011,47529,-8.349768
1617011,47521,-8.349768
1622011,47512,-9.393488
1627011,47504,-8.349768
1632011,47495,-9.393488
1637011,47487,-8.349768
1642011,47479,-8.349768
1647011,47470,-9.393488
1652011,47461,-9.393488
1657011,47453,-8.349768
1662011,47444,-9.393488
1667011,47435,-9.393488
1672011,47426,-9.393488
1677011,47418,-8.349768
1682011,47409,-9.393488
1687011,47400,-9.393488
1692011,47391,-9.393488
1697011,47382,-9.393488
1702011,47373,-9.393488
1707011,47364,-9.393488
1712011,47355,-9.393488
1717011,47346,-9.393488
1722011,47337,-9.393488
1727011,47328,-9.393488
1732011,47319,-9.393488
1737011,47309,-10.437209
1742011,47300,-9.393488
1747011,47291,-9.393488
1752011,47281,-10.437209
1757011,47272,-9.393488
1762011,47263,-9.393488
1767011,47253,-10.437209
1772011,47244,-9.393488
1777011,47235,-9.393488
1782011,47225,-10.437209
1787011,47216,-9.393488
1792011,47206,-10.437209
1797011,47197,-9.393488
1802011,47187,-10.437209
1807011,47178,-9.393488
1812011,47168,-10.437209
1817011,47158,-10.437209
1822011,47149,-9.393488
1827011,47139,-10.437209
1832011,47130,-9.393488
1837011,47120,-10.437209
1842011,47110,-10.437209
1847011,47101,-9.393488
1852011,47091,-10.437209
1857011,47081,-10.437209
1862011,47071,-10.437209
1867011,47062,-9.393488
1872011,47052,-10.437209
1877011,47042,-10.437209
1882011,47032,-10.437209
1887011,47023,-9.393488
1892011,47013,-10.437209
1897011,47003,-10.437209
1902011,46993,-10.437209
1907011,46983,-10.437209
1912011,46973,-10.437209
1917011,46964,-9.393488
1922011,46954,-10.437209
1927011,46944,-10.437209
1932011,46934,-10.437209
1937011,46924,-10.437209
1942011,46914,-10.437209
1947011,46904,-10.437209
1952011,46894,-10.437209
1957011,46884,-10.437209
1962011,46874,-10.437209
1967011,46864,-10.437209
1972011,46854,-10.437209
1977011,46844,-10.437209
1982011,46834,-10.437209
1987011,46824,-10.437209
1992011,46814,-10.437209
1997011,46804,-10.437209
2002011,46794,-10.437209
2007011,46783,-11.480930
2012011,46773,-10.437209
2017011,46763,-10.437209
2022011,46753,-10.437209
2027011,46743,-10.437209
2032011,46733,-10.437209
2037011,46723,-10.437209
2042011,46713,-10.437209
2047011,46703,-10.437209
2052011,46693,-10.437209
2057011,46683,-10.437209
2062011,46673,-10.437209
2067011,46663,-10.437209
2072011,46652,-11.480930
2077011,46642,-10.437209
2082011,46632,-10.437209
2087011,46622,-10.437209
2092011,46612,-10.437209
2097011,46602,-10.437209
2102011,46591,-11.480930
2107011,46581,-10.437209
2112011,46571,-10.437209
2117011,46561,-10.437209
2122011,46551,-10.437209
2127011,46541,-10.437209
2132011,46531,-10.437209
2137011,46521,-10.437209
2142011,46510,-11.480930
2147011,46500,-10.437209
2152011,46490,-10.437209
2157011,46480,-10.437209
2162011,46470,-10.437209
2167011,46459,-11.480930
2172011,46449,-10.437209
2177011,46439,-10.437209
2182011,46429,-10.437209
2187011,46419,-10.437209
2192011,46409,-10.437209
2197011,46398,-11.480930
2202011,46388,-10.437209
2207011,46378,-10.437209
2212011,46368,-10.437209
2217011,46358,-10.437209
2222011,46347,-11.480930
2227011,46337,-10.437209
2232011,46327,-10.437209
2237011,46317,-10.437209
2242011,46307,-10.437209
2247011,46297,-10.437209
2252011,46286,-11.480930
2257011,46276,-10.437209
2262011,46266,-10.437209
2267011,46256,-10.437209
2272011,46245,-11.480930
2277011,46235,-10.437209
2282011,46225,-10.437209
2287011,46215,-10.437209
2292011,46205,-10.437209
2297011,46194,-11.480930
2302011,46184,-10.437209
2307011,46174,-10.437209
2312011,46164,-10.437209
2317011,46153,-11.480930
2322011,46143,-10.437209
2327011,46133,-10.437209
2332011,46123,-10.437209
2337011,46113,-10.437209
2342011,46102,-11.480930
2347011,46092,-10.437209
2352011,46082,-10.437209
2357011,46072,-10.437209
2362011,46061,-11.480930
2367011,46051,-10.437209
2372011,46041,-10.437209
2377011,46031,-10.437209
2382011,46020,-11.480930
2387011,46010,-10.437209
2392011,46000,-10.437209
2397011,45990,-10.437209
2402011,45979,-11.480930
2407011,45969,-10.437209
2412011,45959,-10.437209
2417011,45949,-10.437209
2422011,45939,-10.437209
2427011,45928,-11.480930
2432011,45918,-10.437209
2437011,45908,-10.437209
2442011,45898,-10.437209
2447011,45887,-11.480930
2452011,45877,-10.437209
2457011,45867,-10.437209
2462011,45857,-10.437209
2467011,45846,-11.480930
2472011,45836,-10.437209
2477011,45826,-10.437209
2482011,45816,-10.437209
2487011,45805,-11.480930
2492011,45795,-10.437209
2497011,45785,-10.437209
2502011,45775,-10.437209
2507011,45765,-10.437209
2512011,45754,-11.480930
2517011,45744,-10.437209
2522011,45734,-10.437209
2527011,45724,-10.437209
2532011,45713,-11.480930
2537011,45703,-10.437209
2542011,45693,-10.437209
2547011,45683,-10.437209
2552011,45673,-10.437209
2557011,45662,-11.480930
2562011,45652,-10.437209
2567011,45642,-10.437209
2572011,45631,-11.480930
2577011,45621,-10.437209
2582011,45611,-10.437209
2587011,45601,-10.437209
2592011,45591,-10.437209
2597011,45580,-11.480930
2602011,45570,-10.437209
2607011,45560,-10.437209
2612011,45550,-10.437209
2617011,45539,-11.480930
2622011,45529,-10.437209
