
Time_us,Position,Speed_rad_per_s
1312008,273630,0.000000
1317008,273628,-2.087442
1322008,273623,-5.218605
1327008,273616,-7.306046
1332008,273606,-10.437209
1337008,273594,-12.524651
1342008,273580,-14.612093
1347008,273565,-15.655814
1352008,273548,-17.743256
1357009,273529,-19.826731
1362009,273510,-19.830698
1367009,273490,-20.874418
1372009,273468,-22.961861
1377009,273446,-22.961861
1382009,273424,-22.961861
1387009,273400,-25.049301
1392009,273376,-25.049301
1397009,273352,-25.049301
1402009,273327,-26.093023
1407009,273301,-27.136744
1412009,273276,-26.093023
1417009,273250,-27.136744
1422009,273223,-28.180466
1427009,273197,-27.136744
1432009,273170,-28.180466
1437009,273143,-28.180466
1442009,273116,-28.180466
1447009,273089,-28.180466
1452009,273061,-29.224186
1457009,273033,-29.224186
1462009,273006,-28.180466
1467009,272978,-29.224186
1472009,272950,-29.224186
1477009,272922,-29.224186
1482009,272893,-30.267906
1487009,272865,-29.224186
1492009,272837,-29.224186
1497009,272808,-30.267906
1502009,272780,-29.224186
1507009,272751,-30.267906
1512009,272723,-29.224186
1517009,272694,-30.267906
1522009,272666,-29.224186
1527009,272637,-30.267906
1532009,272608,-30.267906
1537009,272579,-30.267906
1542009,272551,-29.224186
1547009,272522,-30.267906
1552009,272493,-30.267906
1557009,272464,-30.267906
1562009,272435,-30.267906
1567009,272406,-30.267906
1572009,272377,-30.267906
1577009,272348,-30.267906
1582009,272319,-30.267906
1587009,272291,-29.224186
1592009,272262,-30.267906
1597009,272233,-30.267906
1602009,272204,-30.267906
1607009,272175,-30.267906
1612009,272146,-30.267906
1617009,272117,-30.267906
1622009,272087,-31.311628
1627009,272059,-29.224186
1632009,272029,-31.311628
1637009,272000,-30.267906
1642009,271971,-30.267906
1647009,271942,-30.267906
1652009,271913,-30.267906
1657009,271884,-30.267906
1662009,271855,-30.267906
1667009,271826,-30.267906
1672009,271797,-30.267906
1677009,271768,-30.267906
1682009,271739,-30.267906
1687009,271710,-30.267906
1692009,271681,-30.267906
1697009,271651,-31.311628
1702009,271622,-30.267906
1707009,271593,-30.267906
1712009,271564,-30.267906
1717009,271535,-30.267906
1722009,271506,-30.267906
1727009,271477,-30.267906
1732009,271448,-30.267906
1737009,271419,-30.267906
1742009,271389,-31.311628
1747009,271360,-30.267906
1752009,271331,-30.267906
1757009,271302,-30.267906
1762009,271273,-30.267906
1767009,271244,-30.267906
1772009,271215,-30.267906
1777009,271186,-30.267906
1782009,271156,-31.311628
1787009,271127,-30.267906
1792009,271098,-30.267906
1797009,271069,-30.267906
1802009,271040,-30.267906
1807009,271011,-30.267906
1812009,270982,-30.267906
1817009,270953,-30.267906
1822009,270923,-31.311628
1827009,270894,-30.267906
1832009,270865,-30.267906
1837009,270836,-30.267906
1842009,270807,-30.267906
1847009,270778,-30.267906
1852009,270749,-30.267906
1857009,270719,-31.311628
1862009,270690,-30.267906
1867009,270661,-30.267906
1872009,270632,-30.267906
1877009,270603,-30.267906
1882009,270574,-30.267906
1887009,270545,-30.267906
1892009,270515,-31.311628
1897009,270486,-30.267906
1902009,270457,-30.267906
1907009,270428,-30.267906
1912009,270399,-30.267906
1917009,270370,-30.267906
1922009,270341,-30.267906
1927009,270311,-31.311628
1932009,270282,-30.267906
1937009,270253,-30.267906
1942009,270224,-30.267906
1947009,270195,-30.267906
1952009,270166,-30.267906
1957009,270136,-31.311628
1962009,270107,-30.267906
1967009,270078,-30.267906
1972009,270049,-30.267906
1977009,270020,-30.267906
1982009,269991,-30.267906
1987009,269961,-31.311628
1992009,269932,-30.267906
1997009,269903,-30.267906
2002009,269874,-30.267906
2007009,269845,-30.267906
2012009,269816,-30.267906
2017009,269787,-30.267906
2022009,269757,-31.311628
2027009,269728,-30.267906
2032009,269699,-30.267906
2037009,269670,-30.267906
2042009,269641,-30.267906
2047009,269612,-30.267906
2052009,269583,-30.267906
2057009,269553,-31.311628
2062009,269524,-30.267906
2067009,269495,-30.267906
2072009,269466,-30.267906
2077009,269437,-30.267906
2082009,269407,-31.311628
2087009,269378,-30.267906
2092009,269349,-30.267906
2097009,269320,-30.267906
2102009,269291,-30.267906
2107009,269262,-30.267906
2112009,269233,-30.267906
2117009,269203,-31.311628
2122009,269174,-30.267906
2127009,269145,-30.267906
2132009,269116,-30.267906
2137009,269087,-30.267906
2142009,269057,-31.311628
2147009,269028,-30.267906
2152009,268999,-30.267906
2157009,268970,-30.267906
2162009,268941,-30.267906
2167009,268911,-31.311628
2172009,268882,-30.267906
2177009,268853,-30.267906
2182009,268824,-30.267906
2187009,268795,-30.267906
2192009,268765,-31.311628
2197009,268736,-30.267906
2202009,268707,-30.267906
2207009,268678,-30.267906
2212009,268649,-30.267906
2217009,268619,-31.311628
2222009,268590,-30.267906
2227009,268561,-30.267906
2232009,268532,-30.267906
2237009,268503,-30.267906
2242009,268473,-31.311628
2247009,268444,-30.267906
2252009,268415,-30.267906
2257009,268386,-30.267906
2262009,268357,-30.267906
2267009,268327,-31.311628
2272009,268298,-30.267906
2277009,268269,-30.267906
2282009,268240,-30.267906
2287009,268211,-30.267906
2292009,268181,-31.311628
2297009,268152,-30.267906
2302009,268123,-30.267906
2307009,268094,-30.267906
2312009,268065,-30.267906
2317009,268035,-31.311628
2322009,268006,-30.267906
2327009,267977,-30.267906
2332009,267948,-30.267906
2337009,267919,-30.267906
2342009,267889,-31.311628
2347009,267860,-30.267906
2352009,267831,-30.267906
2357009,267802,-30.267906
2362009,267773,-30.267906
2367009,267743,-31.311628
2372009,267714,-30.267906
2377009,267685,-30.267906
2382009,267656,-30.267906
2387009,267627,-30.267906
2392009,267597,-31.311628
2397009,267568,-30.267906
2402009,267539,-30.267906
2407009,267510,-30.267906
2412009,267481,-30.267906
2417009,267451,-31.311628
2422009,267422,-30.267906
2427009,267393,-30.267906
2432009,267364,-30.267906
2437009,267334,-31.311628
2442009,267305,-30.267906
2447009,267276,-30.267906
2452009,267247,-30.267906
2457009,267217,-31.311628
2462009,267188,-30.267906
2467009,267159,-30.267906
2472009,267130,-30.267906
2477009,267101,-30.267906
2482009,267071,-31.311628
2487009,267042,-30.267906
2492009,267013,-30.267906
2497009,266984,-30.267906
2502009,266955,-30.267906
2507009,266925,-31.311628
2512009,266896,-30.267906
2517009,266867,-30.267906
2522009,266838,-30.267906
2527009,266809,-30.267906
2532009,266779,-31.311628
2537009,266750,-30.267906
2542009,266721,-30.267906
2547009,266692,-30.267906
2552009,266663,-30.267906
2557009,266633,-31.311628
2562009,266604,-30.267906
2567009,266575,-30.267906
2572009,266546,-30.267906
2577009,266516,-31.311628
2582009,266487,-30.267906
2587009,266458,-30.267906
2592009,266429,-30.267906
2597009,266400,-30.267906
2602009,266370,-31.311628
2607009,266341,-30.267906
2612009,266312,-30.267906
2617009,266283,-30.267906
2622009,266253,-31.311628
2627009,266224,-30.267906
2632009,266195,-30.267906
2637009,266166,-30.267906
2642009,266137,-30.267906
2647009,266107,-31.311628
2652009,266078,-30.267906
2657009,266049,-30.267906
