
Time_us,Position,Speed_rad_per_s
1312008,334118,0.000000
1317008,334117,-1.043721
1322008,334116,-1.043721
1327009,334113,-3.130537
1332009,334109,-4.174884
1337009,334104,-5.218605
1342010,334098,-6.261073
1347010,334091,-7.306046
1352011,334083,-8.348098
1357011,334074,-9.393488
1362011,334065,-9.393488
1367011,334055,-10.437209
1372011,334044,-11.480930
1377011,334033,-11.480930
1382011,334021,-12.524651
1387011,334009,-12.524651
1392011,333996,-13.568372
1397011,333982,-14.612093
1402011,333968,-14.612093
1407011,333954,-14.612093
1412011,333939,-15.655814
1417011,333924,-15.655814
1422011,333909,-15.655814
1427011,333893,-16.699535
1432011,333876,-17.743256
1437011,333860,-16.699535
1442011,333843,-17.743256
1447011,333826,-17.743256
1452011,333809,-17.743256
1457011,333791,-18.786976
1462011,333773,-18.786976
1467011,333755,-18.786976
1472011,333736,-19.830698
1477011,333718,-18.786976
1482011,333699,-19.830698
1487011,333680,-19.830698
1492011,333661,-19.830698
1497011,333642,-19.830698
1502011,333622,-20.874418
1507011,333603,-19.830698
1512011,333583,-20.874418
1517011,333563,-20.874418
1522011,333543,-20.874418
1527011,333522,-21.918139
1532011,333502,-20.874418
1537011,333481,-21.918139
1542011,333461,-20.874418
1547011,333440,-21.918139
1552011,333419,-21.918139
1557011,333398,-21.918139
1562011,333377,-21.918139
1567011,333356,-21.918139
1572011,333335,-21.918139
1577011,333314,-21.918139
1582011,333293,-21.918139
1587011,333271,-22.961861
1592011,333250,-21.918139
1597011,333228,-22.961861
1602011,333207,-21.918139
1607011,333185,-22.961861
1612011,333164,-21.918139
1617011,333142,-22.961861
1622011,333120,-22.961861
1627011,333098,-22.961861
1632011,333076,-22.961861
1637011,333055,-21.918139
1642011,333033,-22.961861
1647011,333011,-22.961861
1652011,332989,-22.961861
1657011,332967,-22.961861
1662011,332945,-22.961861
1667011,332924,-21.918139
1672011,332902,-22.961861
1677011,332880,-22.961861
1682011,332858,-22.961861
1687011,332836,-22.961861
1692011,332814,-22.961861
1697011,332793,-21.918139
1702011,332771,-22.961861
1707011,332749,-22.961861
1712011,332727,-22.961861
1717011,332705,-22.961861
1722011,332684,-21.918139
1727011,332662,-22.961861
1732011,332640,-22.961861
1737011,332618,-22.961861
1742011,332596,-22.961861
1747011,332574,-22.961861
1752011,332553,-21.918139
1757011,332531,-22.961861
1762011,332509,-22.961861
1767011,332487,-22.961861
1772011,332465,-22.961861
1777011,332443,-22.961861
1782011,332422,-21.918139
1787011,332400,-22.961861
1792011,332378,-22.961861
1797011,332356,-22.961861
1802011,332334,-22.961861
1807011,332312,-22.961861
1812011,332291,-21.918139
1817011,332269,-22.961861
1822011,332247,-22.961861
1827011,332225,-22.961861
1832011,332203,-22.961861
1837011,332181,-22.961861
1842011,332159,-22.961861
1847011,332137,-22.961861
1852011,332116,-21.918139
1857011,332094,-22.961861
1862011,332072,-22.961861
1867011,332050,-22.961861
1872011,332028,-22.961861
1877011,332006,-22.961861
1882011,331984,-22.961861
1887011,331962,-22.961861
1892011,331941,-21.918139
1897011,331919,-22.961861
1902011,331897,-22.961861
1907011,331875,-22.961861
1912011,331853,-22.961861
1917011,331831,-22.961861
1922011,331809,-22.961861
1927011,331787,-22.961861
1932011,331766,-21.918139
1937011,331744,-22.961861
1942011,331722,-22.961861
1947011,331700,-22.961861
1952011,331678,-22.961861
1957011,331656,-22.961861
1962011,331634,-22.961861
1967011,331612,-22.961861
1972011,331591,-21.918139
1977011,331569,-22.961861
1982011,331547,-22.961861
1987011,331525,-22.961861
1992011,331503,-22.961861
1997011,331481,-22.961861
2002011,331459,-22.961861
2007011,331437,-22.961861
2012011,331416,-21.918139
2017011,331394,-22.961861
2022011,331372,-22.961861
2027011,331350,-22.961861
2032011,331328,-22.961861
2037011,331306,-22.961861
2042011,331284,-22.961861
2047011,331263,-21.918139
2052011,331241,-22.961861
2057011,331219,-22.961861
2062011,331197,-22.961861
2067011,331175,-22.961861
2072011,331154,-21.918139
2077011,331132,-22.961861
2082011,331110,-22.961861
2087011,331088,-22.961861
2092011,331066,-22.961861
2097011,331044,-22.961861
2102011,331023,-21.918139
2107011,331001,-22.961861
2112011,330979,-22.961861
2117011,330957,-22.961861
2122011,330935,-22.961861
2127011,330914,-21.918139
2132011,330892,-22.961861
2137011,330870,-22.961861
2142011,330848,-22.961861
2147011,330826,-22.961861
2152011,330804,-22.961861
2157011,330783,-21.918139
2162011,330761,-22.961861
2167011,330739,-22.961861
2172011,330717,-22.961861
2177011,330696,-21.918139
2182011,330674,-22.961861
2187011,330652,-22.961861
2192011,330630,-22.961861
2197011,330608,-22.961861
2202011,330587,-21.918139
2207011,330565,-22.961861
2212011,330543,-22.961861
2217011,330521,-22.961861
2222011,330499,-22.961861
2227011,330478,-21.918139
2232011,330456,-22.961861
2237011,330434,-22.961861
2242011,330412,-22.961861
2247011,330390,-22.961861
2252011,330369,-21.918139
2257011,330347,-22.961861
2262011,330325,-22.961861
2267011,330303,-22.961861
2272011,330282,-21.918139
2277011,330260,-22.961861
2282011,330238,-22.961861
2287011,330216,-22.961861
2292011,330194,-22.961861
2297011,330173,-21.918139
2302011,330151,-22.961861
2307011,330129,-22.961861
2312011,330107,-22.961861
2317011,330086,-21.918139
2322011,330064,-22.961861
2327011,330042,-22.961861
2332011,330020,-22.961861
2337011,329999,-21.918139
2342011,329977,-22.961861
2347011,329955,-22.961861
2352011,329933,-22.961861
2357011,329911,-22.961861
2362011,329890,-21.918139
2367011,329868,-22.961861
2372011,329846,-22.961861
2377011,329824,-22.961861
2382011,329802,-22.961861
2387011,329780,-22.961861
2392011,329759,-21.918139
2397011,329737,-22.961861
2402011,329715,-22.961861
2407011,329693,-22.961861
2412011,329671,-22.961861
2417011,329649,-22.961861
2422011,329628,-21.918139
2427011,329606,-22.961861
2432011,329584,-22.961861
2437011,329562,-22.961861
2442011,329540,-22.961861
2447011,329519,-21.918139
2452011,329497,-22.961861
2457011,329475,-22.961861
2462011,329453,-22.961861
2467011,329431,-22.961861
2472011,329409,-22.961861
2477011,329388,-21.918139
2482011,329366,-22.961861
2487011,329344,-22.961861
2492011,329322,-22.961861
2497011,329300,-22.961861
2502011,329278,-22.961861
2507011,329256,-22.961861
2512011,329234,-22.961861
2517011,329213,-21.918139
2522011,329191,-22.961861
2527011,329169,-22.961861
2532011,329147,-22.961861
2537011,329125,-22.961861
2542011,329103,-22.961861
2547011,329081,-22.961861
2552011,329059,-22.961861
2557011,329038,-21.918139
2562011,329016,-22.961861
2567011,328994,-22.961861
2572011,328972,-22.961861
2577011,328950,-22.961861
2582011,328928,-22.961861
2587011,328906,-22.961861
2592011,328884,-22.961861
2597011,328862,-22.961861
2602011,328840,-22.961861
2607011,328818,-22.961861
2612011,328796,-22.961861
2617011,328774,-22.961861
2622011,328752,-22.961861
2627011,328731,-21.918139
2632011,328709,-22.961861
2637011,328687,-22.961861
2642011,328665,-22.961861
2647011,328643,-22.961861
2652011,328621,-22.961861
2657011,328599,-22.961861
2662011,328577,-22.961861
2667011,328555,-22.961861
2672011,328533,-22.961861
2677011,328511,-22.961861
2682011,328489,-22.961861
2687011,328467,-22.961861
2692011,328445,-22.961861
2697011,328423,-22.961861
2702011,328401,-22.961861
2707011,328379,-22.961861
2712011,328357,-22.961861
2717011,328335,-22.961861
2722011,328313,-22.961861
2727011,328291,-22.961861
2732011,328269,-22.961861
2737011,328247,-22.961861
2742011,328225,-22.961861
2747011,328203,-22.961861
2752011,328181,-22.961861
2757011,328159,-22.961861
2762011,328137,-22.961861
2767011,328115,-22.961861
2772011,328093,-22.961861
2777011,328072,-21.918139
2782011,328050,-22.961861
2787011,328028,-22.961861
2792011,328006,-22.961861
2797011,327984,-22.961861
2802011,327962,-22.961861
2807011,327940,-22.961861
2812011,327918,-22.961861
2817011,327897,-21.918139
2822011,327875,-22.961861
2827011,327853,-22.961861
2832011,327831,-22.961861
2837011,327809,-22.961861
2842011,327787,-22.961861
2847011,327765,-22.961861
2852011,327743,-22.961861
2857011,327722,-21.918139
2862011,327700,-22.961861
2867011,327678,-22.961861
2872011,327656,-22.961861
2877011,327634,-22.961861
2882011,327612,-22.961861
2887011,327590,-22.961861
2892011,327568,-22.961861
2897011,327546,-22.961861
2902011,327525,-21.918139
2907011,327503,-22.961861
2912011,327481,-22.961861
2917011,327459,-22.961861
2922011,327437,-22.961861
2927011,327415,-22.961861
2932011,327393,-22.961861
2937011,327372,-21.918139
2942011,327350,-22.961861
2947011,327328,-22.961861
2952011,327306,-22.961861
2957011,327284,-22.961861
2962011,327262,-22.961861
2967011,327240,-22.961861
2972011,327218,-22.961861
2977011,327196,-22.961861
2982011,327174,-22.961861
2987011,327153,-21.918139
2992011,327131,-22.961861
2997011,327109,-22.961861
3002011,327087,-22.961861
3007011,327065,-22.961861
3012011,327043,-22.961861
3017011,327021,-22.961861
3022011,326999,-22.961861
3027011,326977,-22.961861
3032011,326955,-22.961861
3037011,326933,-22.961861
3042011,326911,-22.961861
3047011,326889,-22.961861
3052011,326867,-22.961861
3057011,326845,-22.961861
3062011,326823,-22.961861
3067011,326801,-22.961861
3072011,326779,-22.961861
3077011,326757,-22.961861
3082011,326736,-21.918139
3087011,326714,-22.961861
3092011,326692,-22.961861
3097011,326670,-22.961861
3102011,326648,-22.961861
3107011,326626,-22.961861
3112011,326604,-22.961861
3117011,326582,-22.961861
3122011,326560,-22.961861
3127011,326538,-22.961861
3132011,326516,-22.961861
3137011,326494,-22.961861
3142011,326472,-22.961861
3147011,326450,-22.961861
3152011,326428,-22.961861
3157011,326406,-22.961861
3162011,326384,-22.961861
3167011,326363,-21.918139
3172011,326341,-22.961861
3177011,326319,-22.961861
3182011,326297,-22.961861
3187011,326275,-22.961861
3192011,326253,-22.961861
3197011,326231,-22.961861
3202011,326209,-22.961861
3207011,326187,-22.961861
3212011,326165,-22.961861
3217011,326143,-22.961861
3222011,326121,-22.961861
3227011,326099,-22.961861
3232011,326078,-21.918139
3237011,326056,-22.961861
3242011,326034,-22.961861
3247011,326012,-22.961861
