
Time_us,Position,Speed_rad_per_s
1312008,368754,0.000000
1317008,368754,0.000000
1322008,368753,-1.043721
1327008,368753,0.000000
1332008,368751,-2.087442
1337008,368750,-1.043721
1342008,368747,-3.131163
1347008,368745,-2.087442
1352008,368741,-4.174884
1357008,368738,-3.131163
1362008,368734,-4.174884
1367008,368729,-5.218605
1372008,368724,-5.218605
1377008,368719,-5.218605
1382008,368714,-5.218605
1387008,368708,-6.262325
1392008,368701,-7.306046
1397008,368695,-6.262325
1402008,368688,-7.306046
1407008,368681,-7.306046
1412008,368673,-8.349768
1417008,368666,-7.306046
1422008,368658,-8.349768
1427008,368649,-9.393488
1432008,368641,-8.349768
1437008,368632,-9.393488
1442008,368624,-8.349768
1447008,368614,-10.437209
1452008,368605,-9.393488
1457008,368596,-9.393488
1462008,368586,-10.437209
1467008,368576,-10.437209
1472008,368566,-10.437209
1477008,368556,-10.437209
1482008,368546,-10.437209
1487008,368535,-11.480930
1492008,368524,-11.480930
1497008,368514,-10.437209
1502008,368503,-11.480930
1507008,368491,-12.524651
1512008,368480,-11.480930
1517008,368469,-11.480930
1522008,368457,-12.524651
1527008,368446,-11.480930
1532008,368434,-12.524651
1537008,368422,-12.524651
1542008,368410,-12.524651
1547008,368398,-12.524651
1552008,368386,-12.524651
1557008,368374,-12.524651
1562008,368362,-12.524651
1567008,368349,-13.568372
1572008,368337,-12.524651
1577008,368324,-13.568372
1582008,368312,-12.524651
1587008,368299,-13.568372
1592008,368286,-13.568372
1597008,368273,-13.568372
1602008,368260,-13.568372
1607008,368247,-13.568372
1612008,368234,-13.568372
1617008,368221,-13.568372
1622008,368207,-14.612093
1627008,368194,-13.568372
1632008,368181,-13.568372
1637008,368167,-14.612093
1642008,368154,-13.568372
1647008,368140,-14.612093
1652008,368126,-14.612093
1657008,368113,-13.568372
1662008,368099,-14.612093
1667008,368085,-14.612093
1672008,368071,-14.612093
1677008,368058,-13.568372
1682008,368044,-14.612093
1687008,368030,-14.612093
1692008,368016,-14.612093
1697008,368002,-14.612093
1702008,367987,-15.655814
1707008,367973,-14.612093
1712008,367959,-14.612093
1717008,367945,-14.612093
1722008,367931,-14.612093
1727008,367916,-15.655814
1732008,367902,-14.612093
1737008,367888,-14.612093
1742008,367874,-14.612093
1747008,367859,-15.655814
1752008,367845,-14.612093
1757008,367830,-15.655814
1762008,367816,-14.612093
1767008,367802,-14.612093
1772008,367787,-15.655814
1777008,367773,-14.612093
1782008,367758,-15.655814
1787008,367744,-14.612093
1792008,367729,-15.655814
1797008,367715,-14.612093
1802008,367700,-15.655814
1807008,367685,-15.655814
1812008,367671,-14.612093
1817008,367656,-15.655814
1822008,367642,-14.612093
1827008,367627,-15.655814
1832008,367612,-15.655814
1837008,367598,-14.612093
1842008,367583,-15.655814
1847008,367568,-15.655814
1852008,367554,-14.612093
1857008,367539,-15.655814
1862008,367524,-15.655814
1867008,367510,-14.612093
1872008,367495,-15.655814
1877008,367480,-15.655814
