
Time_us,Position,Speed_rad_per_s
1312008,118080,0.000000
1317008,118079,-1.043721
1322008,118077,-2.087442
1327009,118074,-3.130537
1332009,118070,-4.174884
1337009,118064,-6.262325
1342010,118058,-6.261073
1347011,118051,-7.304585
1352011,118043,-8.349768
1357011,118034,-9.393488
1362011,118024,-10.437209
1367011,118014,-10.437209
1372011,118003,-11.480930
1377011,117991,-12.524651
1382011,117979,-12.524651
1387011,117967,-12.524651
1392011,117953,-14.612093
1397011,117940,-13.568372
1402011,117926,-14.612093
1407011,117911,-15.655814
1412011,117896,-15.655814
1417011,117881,-15.655814
1422011,117865,-16.699535
1427011,117849,-16.699535
1432011,117832,-17.743256
1437011,117816,-16.699535
1442011,117799,-17.743256
1447011,117781,-18.786976
1452011,117764,-17.743256
1457011,117746,-18.786976
1462011,117728,-18.786976
1467011,117710,-18.786976
1472011,117691,-19.830698
1477011,117672,-19.830698
1482011,117653,-19.830698
1487011,117634,-19.830698
1492011,117615,-19.830698
1497011,117596,-19.830698
1502011,117576,-20.874418
1507011,117556,-20.874418
1512011,117537,-19.830698
1517011,117517,-20.874418
1522011,117497,-20.874418
1527011,117477,-20.874418
1532011,117457,-20.874418
1537011,117436,-21.918139
1542011,117416,-20.874418
1547011,117396,-20.874418
1552011,117375,-21.918139
1557011,117355,-20.874418
1562011,117334,-21.918139
1567011,117313,-21.918139
1572011,117292,-21.918139
1577011,117271,-21.918139
1582011,117250,-21.918139
1587011,117229,-21.918139
1592011,117208,-21.918139
1597011,117187,-21.918139
1602011,117165,-22.961861
1607011,117144,-21.918139
1612011,117123,-21.918139
1617011,117101,-22.961861
1622011,117079,-22.961861
1627011,117058,-21.918139
1632011,117036,-22.961861
1637011,117014,-22.961861
1642011,116993,-21.918139
1647011,116971,-22.961861
1652011,116949,-22.961861
1657011,116927,-22.961861
1662011,116905,-22.961861
1667011,116883,-22.961861
1672011,116862,-21.918139
1677011,116840,-22.961861
1682011,116818,-22.961861
1687011,116796,-22.961861
1692011,116774,-22.961861
1697011,116752,-22.961861
1702011,116729,-24.005581
1707011,116707,-22.961861
1712011,116685,-22.961861
1717011,116663,-22.961861
1722011,116641,-22.961861
1727011,116619,-22.961861
1732011,116597,-22.961861
1737011,116574,-24.005581
1742011,116552,-22.961861
1747011,116530,-22.961861
1752011,116508,-22.961861
1757011,116485,-24.005581
1762011,116463,-22.961861
1767011,116441,-22.961861
1772011,116419,-22.961861
1777011,116396,-24.005581
1782011,116374,-22.961861
1787011,116352,-22.961861
1792011,116329,-24.005581
1797011,116307,-22.961861
1802011,116285,-22.961861
1807011,116262,-24.005581
1812011,116240,-22.961861
1817011,116218,-22.961861
1822011,116195,-24.005581
1827011,116173,-22.961861
1832011,116150,-24.005581
1837011,116128,-22.961861
1842011,116106,-22.961861
1847011,116083,-24.005581
1852011,116061,-22.961861
1857011,116038,-24.005581
1862011,116016,-22.961861
1867011,115993,-24.005581
1872011,115971,-22.961861
1877011,115949,-22.961861
1882011,115926,-24.005581
1887011,115904,-22.961861
1892011,115881,-24.005581
1897011,115859,-22.961861
1902011,115836,-24.005581
1907011,115814,-22.961861
1912011,115791,-24.005581
1917011,115769,-22.961861
1922011,115746,-24.005581
1927011,115724,-22.961861
1932011,115702,-22.961861
1937011,115679,-24.005581
1942011,115657,-22.961861
1947011,115634,-24.005581
1952011,115612,-22.961861
1957011,115589,-24.005581
