
Time_us,Position,Speed_rad_per_s
1312008,398748,0.000000
1317008,398745,-3.131163
1322009,398737,-8.348098
1327009,398726,-11.480930
1332009,398711,-15.655814
1337009,398693,-18.786976
1342009,398673,-20.874418
1347009,398652,-21.918139
1352009,398629,-24.005581
1357009,398605,-25.049301
1362009,398579,-27.136744
1367009,398553,-27.136744
1372009,398527,-27.136744
1377009,398499,-29.224186
1382009,398471,-29.224186
1387009,398443,-29.224186
1392009,398415,-29.224186
1397009,398386,-30.267906
1402009,398356,-31.311628
1407009,398327,-30.267906
1412009,398298,-30.267906
1417009,398268,-31.311628
1422009,398238,-31.311628
1427009,398209,-30.267906
1432009,398179,-31.311628
1437009,398149,-31.311628
1442009,398119,-31.311628
1447009,398089,-31.311628
1452009,398059,-31.311628
1457009,398029,-31.311628
1462009,397999,-31.311628
1467009,397969,-31.311628
1472009,397939,-31.311628
1477009,397908,-32.355347
1482009,397878,-31.311628
1487009,397848,-31.311628
1492009,397818,-31.311628
1497009,397788,-31.311628
1502009,397758,-31.311628
1507009,397727,-32.355347
1512009,397697,-31.311628
1517009,397667,-31.311628
1522009,397637,-31.311628
1527009,397607,-31.311628
1532009,397576,-32.355347
1537009,397546,-31.311628
1542009,397516,-31.311628
1547009,397485,-32.355347
1552009,397455,-31.311628
1557009,397425,-31.311628
1562009,397395,-31.311628
1567009,397364,-32.355347
1572009,397334,-31.311628
1577009,397304,-31.311628
1582009,397273,-32.355347
1587009,397243,-31.311628
1592009,397213,-31.311628
1597009,397183,-31.311628
1602009,397152,-32.355347
1607009,397122,-31.311628
1612009,397092,-31.311628
1617009,397061,-32.355347
1622009,397031,-31.311628
1627009,397001,-31.311628
1632009,396970,-32.355347
1637009,396940,-31.311628
1642009,396910,-31.311628
1647009,396879,-32.355347
1652009,396849,-31.311628
1657009,396819,-31.311628
1662009,396789,-31.311628
1667009,396758,-32.355347
1672009,396728,-31.311628
1677009,396698,-31.311628
1682009,396667,-32.355347
1687009,396637,-31.311628
1692009,396607,-31.311628
1697009,396576,-32.355347
1702009,396546,-31.311628
1707009,396516,-31.311628
1712009,396485,-32.355347
1717009,396455,-31.311628
1722009,396425,-31.311628
1727009,396395,-31.311628
1732009,396364,-32.355347
1737009,396334,-31.311628
1742009,396304,-31.311628
1747009,396273,-32.355347
1752009,396243,-31.311628
1757009,396213,-31.311628
1762009,396182,-32.355347
1767009,396152,-31.311628
1772009,396122,-31.311628
1777009,396091,-32.355347
1782009,396061,-31.311628
1787009,396030,-32.355347
1792009,396000,-31.311628
1797009,395969,-32.355347
1802009,395939,-31.311628
1807009,395908,-32.355347
1812009,395878,-31.311628
1817009,395847,-32.355347
1822009,395817,-31.311628
1827009,395786,-32.355347
1832009,395756,-31.311628
1837009,395725,-32.355347
1842009,395694,-32.355347
1847009,395664,-31.311628
1852009,395633,-32.355347
1857009,395602,-32.355347
1862009,395572,-31.311628
1867009,395541,-32.355347
1872009,395510,-32.355347
1877009,395480,-31.311628
1882009,395449,-32.355347
1887009,395418,-32.355347
1892009,395388,-31.311628
1897009,395357,-32.355347
1902009,395326,-32.355347
1907009,395296,-31.311628
1912009,395265,-32.355347
1917009,395234,-32.355347
1922009,395204,-31.311628
1927009,395173,-32.355347
1932009,395143,-31.311628
1937009,395112,-32.355347
1942009,395081,-32.355347
1947009,395051,-31.311628
1952009,395020,-32.355347
1957009,394989,-32.355347
1962009,394959,-31.311628
1967009,394928,-32.355347
1972009,394897,-32.355347
1977009,394867,-31.311628
1982009,394836,-32.355347
1987009,394805,-32.355347
1992009,394775,-31.311628
1997009,394744,-32.355347
2002009,394713,-32.355347
2007009,394683,-31.311628
2012009,394652,-32.355347
2017009,394621,-32.355347
2022009,394591,-31.311628
2027009,394560,-32.355347
2032009,394529,-32.355347
2037009,394498,-32.355347
2042009,394468,-31.311628
2047009,394437,-32.355347
2052009,394406,-32.355347
2057009,394375,-32.355347
2062009,394345,-31.311628
2067009,394314,-32.355347
2072009,394283,-32.355347
2077009,394252,-32.355347
2082009,394222,-31.311628
2087009,394191,-32.355347
2092009,394160,-32.355347
2097009,394129,-32.355347
2102009,394098,-32.355347
2107009,394067,-32.355347
2112009,394037,-31.311628
2117009,394006,-32.355347
2122009,393975,-32.355347
2127009,393944,-32.355347
2132009,393913,-32.355347
2137009,393883,-31.311628
2142009,393852,-32.355347
2147009,393821,-32.355347
2152009,393790,-32.355347
2157009,393759,-32.355347
2162009,393728,-32.355347
2167009,393697,-32.355347
2172009,393667,-31.311628
2177009,393636,-32.355347
2182009,393605,-32.355347
2187009,393574,-32.355347
2192009,393543,-32.355347
2197009,393512,-32.355347
2202009,393481,-32.355347
2207009,393451,-31.311628
2212009,393420,-32.355347
2217009,393389,-32.355347
2222009,393358,-32.355347
2227009,393327,-32.355347
2232009,393296,-32.355347
2237009,393265,-32.355347
2242009,393235,-31.311628
2247009,393204,-32.355347
2252009,393173,-32.355347
2257009,393142,-32.355347
2262009,393111,-32.355347
2267009,393081,-31.311628
2272009,393050,-32.355347
2277009,393019,-32.355347
2282009,392988,-32.355347
2287009,392957,-32.355347
2292009,392926,-32.355347
2297009,392896,-31.311628
2302009,392865,-32.355347
2307009,392834,-32.355347
2312009,392803,-32.355347
2317009,392773,-31.311628
2322009,392742,-32.355347
2327009,392711,-32.355347
2332009,392681,-31.311628
2337009,392650,-32.355347
2342009,392619,-32.355347
2347009,392589,-31.311628
2352009,392558,-32.355347
2357009,392527,-32.355347
2362009,392496,-32.355347
2367009,392466,-31.311628
2372009,392435,-32.355347
2377009,392404,-32.355347
2382009,392374,-31.311628
2387009,392343,-32.355347
2392009,392312,-32.355347
2397009,392281,-32.355347
2402009,392250,-32.355347
2407009,392220,-31.311628
2412009,392189,-32.355347
2417009,392158,-32.355347
2422009,392127,-32.355347
2427009,392097,-31.311628
2432009,392066,-32.355347
2437009,392035,-32.355347
2442009,392005,-31.311628
2447009,391974,-32.355347
2452009,391943,-32.355347
2457009,391912,-32.355347
2462009,391881,-32.355347
2467009,391850,-32.355347
2472009,391820,-31.311628
2477009,391789,-32.355347
2482009,391758,-32.355347
2487009,391727,-32.355347
2492009,391697,-31.311628
2497009,391666,-32.355347
