
Time_us,Position,Speed_rad_per_s
1312008,367376,0.000000
1317009,367376,0.000000
1322009,367376,0.000000
1327009,367376,0.000000
1332009,367376,0.000000
1337009,367377,1.043721
1342009,367377,0.000000
1347009,367377,0.000000
1352009,367378,1.043721
1357009,367379,1.043721
1362009,367380,1.043721
1367009,367380,0.000000
1372009,367380,0.000000
1377009,367381,1.043721
1382009,367381,0.000000
1387009,367381,0.000000
1392009,367382,1.043721
1397009,367383,1.043721
1402009,367384,1.043721
1407009,367384,0.000000
1412009,367385,1.043721
1417009,367386,1.043721
1422009,367387,1.043721
1427009,367388,1.043721
1432009,367388,0.000000
1437009,367389,1.043721
1442009,367390,1.043721
1447009,367391,1.043721
1452009,367392,1.043721
1457009,367392,0.000000
1462009,367393,1.043721
1467009,367394,1.043721
1472009,367395,1.043721
1477009,367396,1.043721
1482009,367397,1.043721
1487009,367398,1.043721
1492009,367399,1.043721
1497009,367400,1.043721
1502009,367401,1.043721
1507009,367403,2.087442
1512009,367404,1.043721
1517009,367405,1.043721
1522009,367406,1.043721
1527009,367407,1.043721
1532009,367409,2.087442
1537009,367410,1.043721
1542009,367411,1.043721
1547009,367412,1.043721
1552009,367414,2.087442
1557009,367415,1.043721
1562009,367416,1.043721
1567009,367418,2.087442
1572009,367419,1.043721
1577009,367421,2.087442
1582009,367422,1.043721
1587009,367424,2.087442
1592009,367425,1.043721
1597009,367426,1.043721
1602009,367428,2.087442
1607009,367429,1.043721
1612009,367431,2.087442
1617009,367432,1.043721
1622009,367434,2.087442
1627009,367436,2.087442
1632009,367437,1.043721
1637009,367439,2.087442
1642009,367440,1.043721
1647009,367442,2.087442
1652009,367443,1.043721
1657009,367445,2.087442
1662009,367447,2.087442
1667009,367448,1.043721
1672009,367450,2.087442
1677009,367452,2.087442
1682009,367453,1.043721
1687009,367455,2.087442
1692009,367457,2.087442
1697009,367459,2.087442
1702009,367460,1.043721
1707009,367462,2.087442
1712009,367464,2.087442
1717009,367466,2.087442
1722009,367467,1.043721
1727009,367469,2.087442
1732009,367471,2.087442
1737009,367473,2.087442
1742009,367475,2.087442
1747009,367476,1.043721
1752009,367478,2.087442
1757009,367480,2.087442
1762009,367482,2.087442
1767009,367484,2.087442
1772009,367486,2.087442
1777009,367488,2.087442
1782009,367489,1.043721
1787009,367491,2.087442
1792009,367493,2.087442
1797009,367495,2.087442
1802009,367497,2.087442
1807009,367499,2.087442
1812009,367501,2.087442
1817009,367503,2.087442
1822009,367504,1.043721
1827009,367506,2.087442
1832009,367508,2.087442
1837009,367510,2.087442
1842009,367512,2.087442
1847009,367514,2.087442
1852009,367516,2.087442
1857009,367518,2.087442
1862009,367520,2.087442
1867009,367522,2.087442
1872009,367524,2.087442
1877009,367526,2.087442
1882009,367528,2.087442
1887009,367530,2.087442
1892009,367532,2.087442
1897009,367534,2.087442
1902009,367536,2.087442
1907009,367538,2.087442
1912009,367540,2.087442
1917009,367542,2.087442
1922009,367544,2.087442
1927009,367545,1.043721
1932009,367548,3.131163
1937009,367550,2.087442
1942009,367552,2.087442
1947009,367554,2.087442
1952009,367556,2.087442
1957009,367558,2.087442
1962009,367560,2.087442
1967009,367562,2.087442
1972009,367564,2.087442
1977009,367566,2.087442
1982009,367568,2.087442
1987009,367570,2.087442
1992009,367572,2.087442
1997009,367574,2.087442
2002009,367576,2.087442
2007009,367578,2.087442
2012009,367580,2.087442
2017009,367582,2.087442
2022009,367584,2.087442
2027009,367586,2.087442
2032009,367588,2.087442
2037009,367590,2.087442
2042009,367592,2.087442
2047009,367594,2.087442
2052009,367596,2.087442
2057009,367598,2.087442
2062009,367601,3.131163
2067009,367603,2.087442
2072009,367605,2.087442
2077009,367607,2.087442
2082009,367609,2.087442
2087009,367611,2.087442
2092009,367613,2.087442
2097009,367615,2.087442
2102009,367617,2.087442
2107009,367619,2.087442
2112009,367621,2.087442
2117009,367623,2.087442
2122009,367625,2.087442
2127009,367628,3.131163
2132009,367629,1.043721
2137009,367632,3.131163
2142009,367634,2.087442
2147009,367636,2.087442
2152009,367638,2.087442
2157009,367640,2.087442
2162009,367642,2.087442
2167009,367644,2.087442
2172009,367646,2.087442
2177009,367648,2.087442
2182009,367650,2.087442
2187009,367652,2.087442
2192009,367654,2.087442
2197009,367657,3.131163
2202009,367659,2.087442
2207009,367661,2.087442
2212009,367663,2.087442
2217009,367665,2.087442
2222009,367667,2.087442
2227009,367669,2.087442
2232009,367671,2.087442
2237009,367673,2.087442
2242009,367675,2.087442
2247009,367677,2.087442
2252009,367679,2.087442
2257009,367681,2.087442
2262009,367683,2.087442
2267009,367686,3.131163
2272009,367688,2.087442
2277009,367690,2.087442
2282009,367692,2.087442
2287009,367694,2.087442
2292009,367696,2.087442
2297009,367698,2.087442
2302009,367700,2.087442
2307009,367702,2.087442
2312009,367704,2.087442
2317009,367706,2.087442
2322009,367708,2.087442
2327009,367710,2.087442
2332009,367712,2.087442
2337009,367715,3.131163
2342009,367717,2.087442
2347009,367719,2.087442
2352009,367721,2.087442
2357009,367723,2.087442
