
Time_us,Position,Speed_rad_per_s
1312008,77220,0.000000
1317008,77220,0.000000
1322008,77219,-1.043721
1327008,77217,-2.087442
1332009,77215,-2.087024
1337010,77212,-3.130537
1342010,77209,-3.131163
1347011,77205,-4.174049
1352011,77201,-4.174884
1357011,77197,-4.174884
1362011,77191,-6.262325
1367011,77186,-5.218605
1372011,77180,-6.262325
1377011,77174,-6.262325
1382011,77168,-6.262325
1387011,77161,-7.306046
1392011,77154,-7.306046
1397011,77146,-8.349768
1402011,77138,-8.349768
1407011,77130,-8.349768
1412011,77122,-8.349768
1417011,77113,-9.393488
1422011,77105,-8.349768
1427011,77095,-10.437209
1432011,77086,-9.393488
1437011,77077,-9.393488
1442011,77067,-10.437209
1447011,77057,-10.437209
1452011,77046,-11.480930
1457011,77036,-10.437209
1462011,77025,-11.480930
1467011,77014,-11.480930
1472011,77003,-11.480930
1477011,76992,-11.480930
1482011,76980,-12.524651
1487011,76969,-11.480930
1492011,76957,-12.524651
1497011,76945,-12.524651
1502011,76933,-12.524651
1507011,76921,-12.524651
1512011,76909,-12.524651
1517011,76896,-13.568372
1522011,76884,-12.524651
1527011,76871,-13.568372
1532011,76858,-13.568372
1537011,76845,-13.568372
1542011,76832,-13.568372
1547011,76819,-13.568372
1552011,76806,-13.568372
1557011,76792,-14.612093
1562011,76779,-13.568372
1567011,76765,-14.612093
1572011,76752,-13.568372
1577011,76738,-14.612093
1582011,76724,-14.612093
1587011,76710,-14.612093
1592011,76696,-14.612093
1597011,76682,-14.612093
1602011,76668,-14.612093
1607011,76654,-14.612093
1612011,76639,-15.655814
1617011,76625,-14.612093
1622011,76611,-14.612093
1627011,76596,-15.655814
1632011,76582,-14.612093
1637011,76567,-15.655814
1642011,76552,-15.655814
1647011,76537,-15.655814
1652011,76523,-14.612093
1657011,76508,-15.655814
1662011,76493,-15.655814
1667011,76478,-15.655814
1672011,76463,-15.655814
1677011,76448,-15.655814
1682011,76433,-15.655814
1687011,76417,-16.699535
1692011,76402,-15.655814
1697011,76387,-15.655814
1702011,76372,-15.655814
1707011,76356,-16.699535
1712011,76341,-15.655814
1717011,76325,-16.699535
1722011,76310,-15.655814
1727011,76294,-16.699535
1732011,76279,-15.655814
1737011,76263,-16.699535
1742011,76248,-15.655814
1747011,76232,-16.699535
1752011,76216,-16.699535
1757011,76201,-15.655814
1762011,76185,-16.699535
1767011,76169,-16.699535
1772011,76154,-15.655814
1777011,76138,-16.699535
1782011,76122,-16.699535
1787011,76106,-16.699535
1792011,76090,-16.699535
1797011,76075,-15.655814
1802011,76059,-16.699535
1807011,76043,-16.699535
1812011,76027,-16.699535
1817011,76011,-16.699535
1822011,75995,-16.699535
1827011,75979,-16.699535
1832011,75963,-16.699535
1837011,75947,-16.699535
1842011,75931,-16.699535
1847011,75915,-16.699535
1852011,75899,-16.699535
1857011,75883,-16.699535
1862011,75867,-16.699535
1867011,75851,-16.699535
1872011,75835,-16.699535
1877011,75819,-16.699535
1882011,75803,-16.699535
